sl_no,nbfc_name,regional_office,accepts_deposits,classification,cin,layer
264,Airan Financial Services Private Limited,Ahmedabad,No,ICC,U65990GJ2011PTC066601,Base
265,Airon Cash And Credit Private Limited,New Delhi,No,ICC,U65929DL2017PTC318886,Base
266,Airtel Money Limited,New Delhi,No,ICC,U64990HR2025PLC133983,Base
267,Airwave Tradefin (P) Ltd,Kolkata,No,ICC,U65921WB1996PTC081330,Base
268,Aishwaryam Financial Services Private Limited,Chennai,No,ICC,U67190TZ2019PTC033251,Base
269,Aiswarya Hire Purchase And Leasing Private Limited,Thiruvananthapuram,No,ICC,U65921KL1994PTC007749,Base
270,Ajagar Finance Private Limited,Guwahati,No,MFI,U65929AS2015PTC012082,Base
271,Ajanta Merchants Pvt. Ltd,Kolkata,No,ICC,U51909WB1996PTC077323,Base
272,Ajay Ice Factory (P) Ltd.,Kanpur,No,ICC,U15205UP1989PTC010970,Base
273,Ajay Investment Enterprise Ltd.,Kolkata,No,ICC,U55101WB1971PLC028155,Base
274,Ajay Multi Pojects Private Ltd,Mumbai,No,ICC,U45201MH1982PTC100777,Base
275,Ajay Properties & Investment Ltd,Kolkata,No,ICC,U65992WB1971PLC028009,Base
276,Ajayhari Textrade (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC067766,Base
277,Ajcon Finance Limited (Formerly Ajcon Commodity Brokers Ltd.),Mumbai,No,ICC,U65920MH1994PLC080780,Base
278,Ajit Motor Hire Purchase Pvt. Ltd.,Guwahati,No,ICC,U65921AS1991PTC003546,Base
279,Ajitnath Steels (P) Ltd,Kolkata,No,ICC,U51420WB1992PTC055016,Base
